time,z,y,x
19.239,0.0978437,-0.00364953,0.106351
19.272,0.112956,0.0576618,0.0504836
19.3077,0.0437135,0.198177,0.311072
19.3388,0.0662281,-0.0414523,-0.0300254
19.372,-0.0102769,0.150241,0.11998
19.4079,0.018949,0.10108,0.0268703
19.4394,-0.264306,0.14165,-0.0566175
19.4719,-0.0737143,0.274919,-0.131589
19.5079,0.0901211,0.0454427,-0.00289194
19.5392,-0.0228356,0.0216131,-0.0913917
19.5718,0.141919,0.0254884,-0.202786
19.6075,0.131808,0.0083995,-0.0753057
19.6362,0.222397,0.141569,-0.101785
19.672,0.292422,0.110947,-0.299442
19.7068,0.0831019,-0.0504999,-0.171462
19.7396,0.104954,-0.269778,0.186859
19.772,-0.0523061,0.0537013,-0.00957481
19.8076,-0.0943691,-0.0337788,-0.0576176
19.839,-0.251494,-0.0851198,0.258147
19.872,-0.322565,0.0496308,0.068914
19.9077,-0.14567,-0.0451168,0.141582
19.9394,-0.379065,-0.0335069,-0.113722
19.9754,-0.29469,-0.0198603,0.244559
20.0077,-0.362983,0.129253,-0.107783
20.0397,-0.243456,0.0770906,-0.466468
20.076,-0.198217,0.0557766,0.109865
20.1083,-0.27274,-0.141408,-0.319024
20.139,-0.158604,-0.195305,-0.438352
20.2073,-0.00927295,0.266851,-0.34831
20.276,0.0246202,-0.283053,-0.27176
20.3081,-0.100625,-0.185678,0.059619
20.3762,-0.148119,-0.123976,-0.0614598
20.4079,-0.0830029,-0.15268,-0.0574034
20.4397,0.0584329,0.0150264,0.174439
20.4735,0.0700567,0.091853,-0.00236818
20.5081,0.107204,-0.0488748,-0.005151
20.5399,0.0727201,0.272529,0.121778
20.576,-0.0920183,-0.0792003,0.112611
20.6081,-0.00137799,0.0134206,-0.52723
20.6373,-0.126734,-0.114733,-0.0316367
20.6761,0.0620739,-0.32999,-0.307011
20.7085,0.0549563,-0.192527,-0.340552
20.7393,0.0974646,-0.0561188,-0.159338
20.8075,0.291973,-0.11663,-0.376857
20.8401,0.0511259,0.0331621,-0.0376428
20.8765,0.196237,0.0313338,-0.00142259
20.9077,0.172167,0.0319755,-0.475001
20.9386,-0.0724493,0.0708957,-0.2609
20.9755,0.0125822,0.0876654,-0.100738
21.0069,-0.223276,0.247225,-0.418963
21.0394,-0.0370197,0.335374,-0.411614
21.0753,0.116182,0.10933,-0.689309
21.107,0.0729803,0.266634,-0.530609
21.136,0.0132649,0.293207,-0.523208
21.1752,0.138108,0.246187,-0.39443
21.207,0.133893,0.261027,-0.239991
21.2361,-0.0968937,0.21846,-0.202555
21.276,0.186479,0.119927,-0.369461
21.3083,0.16353,0.198637,-0.12918
21.3361,0.11027,0.0280481,-0.260499
